key,title,journal,authors,notes
rayyan-364025334,Experimental illumination of a forest: no effects of lights of different colours on the onset of the dawn chorus in songbirds,ROYAL SOCIETY OPEN SCIENCE,"Da Silva, Arnaud and de Jong, Maaike and van Grunsven, Roy H. A. and Visser, Marcel E. and Kempenaers, Bart and Spoelstra, Kamiel","USER-NOTES: {""Riikka""=>[""This study looked at the effects of ALAN on the timing of bird song in natural forest areas. Some recommendations could be drawn about the intensity of light that has no effect on birds, however, these might only be generalizable for natural areas, not urban areas. Not really a forest management issue either. I would exclude.""], ""Kayleigh""=>[""This study has relevant experimental results for light pollutions affect on bird species. However, data was collected \""far from urban areas\"" and targetted forest rather than urban birds. \n\nThis work could have relevant outcomes for urban areas but I think stretching this data to be relevant in urban areas is not reasonable/beyond the scope of our work. Would exclude.\n\nWe are looking for work that INCLUDES urban areas not just could be relevant to"", ""Agree to exclude. ""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025339,SNAPSHOT USA 2019: a coordinated national camera trap survey of the United States,ECOLOGY,"Cove, Michael V. and Kays, Rol and Bontrager, Helen and Bresnan, Claire and Lasky, Monica and Frerichs, Taylor and Klann, Renee and Lee, Jr., Thomas E. and Crockett, Seth C. and Crupi, Anthony P. and Weiss, Katherine C. B. and Rowe, Helen and Sprague, Tiffany and Schipper, Jan and Tellez, Chelsey and Lepczyk, Christopher A. and Fantle-Lepczyk, Jean E. and Lapoint, Scott and Williamson, Jacque and Fisher-Reid, M. Caitlin and King, Sean M. and Bebko, Alex and ra J. and Chrysafis, Petros and Jensen, Alex J. and Jachowski, David S. and S and s, Joshua and MacCombie, Kelly Anne and Herrera, Daniel J. and van der Merwe, Marius and Knowles, Travis W. and Horan, III, Robert V. and Rentz, Michael S. and Br and t, LaRoy S. E. and Nagy, Christopher and Barton, Br and on T. and Thompson, Weston C. and Maher, Sean P. and Darracq, Andrea K. and Hess, George and Parsons, Arielle W. and Wells, Brenna and Roemer, Gary W. and Hern and ez, Cristian J. and Gompper, Matthew E. and Webb, Stephen L. and Vanek, John P. and Lafferty, Diana J. R. and Bergquist, Amelia M. and Hubbard, Tru and Forrester, Tavis and Clark, Darren and Cincotta, Connor and Favreau, Jorie and Facka, Aaron N. and Halbur, Michelle and Hammerich, Steven and Gray, Morgan and Rega-Brodsky, Christine C. and Durbin, Caleb and Flaherty, Elizabeth A. and Brooke, Jarred M. and Coster, Stephanie S. and Lathrop, Richard G. and Russell, Katarina and Bogan, Daniel A. and Cliche, Rachel and Shamon, Hila and Hawkins, Melissa T. R. and Marks, Sharyn B. and Lonsinger, Robert C. and O'Mara, M. Teague and Compton, Justin A. and Fowler, Melinda and Barthelmess, Erika L. and Andy, Katherine E. and Belant, Jerrold L. and Beyer, Jr., Dean E. and Kautz, Todd M. and Scognamillo, Daniel G. and Schalk, Christopher M. and Leslie, Matthew S. and Nasrallah, Sophie L. and Ellison, Caroline N. and Ruthven, Chip and Fritts, Sarah and Tleimat, Jaquelyn and Gay, M and y and Whittier, Christopher A. and Neiswenter, Sean A. and Pelletier, Robert and DeGregorio, Brett A. and Kuprewicz, Erin K. and Davis, Mir and a L. and Dykstra, Adrienne and Mason, David S. and Baruzzi, Carolina and Lashley, Marcus A. and Risch, Derek R. and Price, Melissa R. and Allen, Maximilian L. and Whipple, Laura S. and Sperry, Jinelle H. and Hagen, Robert H. and Mortelliti, Alessio and Evans, Bryn E. and Studds, Colin E. and Siren, Alexej P. K. and Kilborn, Jillian and Sutherl and , Chris and Warren, Paige and Fuller, Todd and Harris, Nyeema C. and Carter, Neil H. and Trout, Edward and Zimova, Marketa and Giery, Sean T. and Iannarilli, Fabiola and Higdon, Summer D. and Revord, Ronald S. and Hansen, Christopher P. and Millspaugh, Joshua J. and Zorn, Adam and Benson, John F. and Wehr, Nathaniel H. and Solberg, Jaylin N. and Gerber, Brian D. and Burr, Jessica C. and Sevin, Jennifer and Green, Austin M. and Sekercioglu, Cagan H. and Pendergast, Mary and Barnick, Kelsey A. and Edelman, Andrew J. and Wasdin, Joanne R. and Romero, Andrea and O'Neill, Brian J. and Schmitz, Noel and Alston, Jesse M. and Kuhn, Kellie M. and Lesmeister, Damon B. and Linnell, Mark A. and Appel, Cara L. and Rota, Christopher and Stenglein, Jennifer L. and Anhalt-Depies, Christine and Nelson, Carrie and Long, Robert A. and Jaspers, Kodi Jo and Remine, Kathryn R. and Jordan, Mark J. and Davis, Daniel and Hern and ez-Yanez, Haydee and Zhao, Jennifer Y. and McShea, Andwilliam J.","USER-NOTES: {""Riikka""=>[""This is just a data paper, with no actual results or discussion. Exclude""], ""Kayleigh""=>[""This article simply announces the release of a widespread database using national camera traps in the US. Although there is data available, there are no results or discussion. Must exclude. ""], ""Chloe""=>[""Not a \""traditional\"" paper, Exclude""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025318,Breeding parameter changes in two syntopic urban Sparrow species with contrasting population trends,ORNIS FENNICA,"Wegrzynowicz, Andrzej","USER-NOTES: {""Riikka""=>[""The research is mainly conducted in urban parks and the zoological garden in Warsaw. Both sparrow species, House and Tree,  improved their reproductive efforts between 1980s and 2000s, manifested in higher annual breeding productivity. However, in the Tree Sparrow this improvement was more significant, due to an increase in such parameters as clutch size and a number of broods per year which did not change in the House Sparrow. Although this study was done in parks, it does not really measure/include any tree-related data or make any management recommendations. I am leaning towards exclusion for this paper.""], ""Kayleigh""=>[""This study quantifies two birds breeding success and productivity mostly within urban parks (and a zoo). Both sparrow species improved their reproductive effects between 1980s and 2000s,which was pronounced in higher annual breeding productivity. However,in the Tree Sparrow this improvement was more significant,due to increase in such parameters as clutch size and number of broods per year which did not change in the House Sparrow. \n- Authors indirectly reference preference for nest sites (see below)\n Great similarity between these two sparrow species (both are hole-nesters,feed their nestlings with invertebrates etc.),more subtle differences,such as preferences for particular types of nest sites,breeding season phenology etc.,may have a significant effect on the trends of their breeding parameters, and consequently,in population trends.\n\nHowever, none of these recommendations or results are directly or indirectly related to the characteristics of the park/urban forest. Exclude?"", ""Potential good example or work conducted in urban forest however, lacks outcome or results related to trees/urban forest characteristics. Both agree to exclude.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025335,Light pollution alters the phenology of dawn and dusk singing in common European songbirds,PHILOSOPHICAL TRANSACTIONS OF THE ROYAL SOCIETY B-BIOLOGICAL SCIENCES,"Da Silva, Arnaud and Valcu, Mihai and Kempenaers, Bart","USER-NOTES: {""Riikka""=>[""Study does not include forest characteristics or similar and is not conducted in an urban area. Exclude.""], ""Kayleigh""=>[""No measurements or results related to trees or urban forest. Would exclude."", ""Agree to exclude. ""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025317,Cool birds: facultative use by an introduced species of mechanical air conditioning systems during extremely hot outdoor conditions,BIOLOGY LETTERS,"Mills, Raegan and McGraw, Kevin J.","USER-NOTES: {""Riikka""=>[""No trees in this study. Exclude.""], ""Kayleigh""=>[""No results or outcomes related to trees or urban forest. Exclude!""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025319,Long-term variation in the timing and height of annual peak abundance of caterpillars in tree canopies: Some effects on a breeding songbird,ECOLOGICAL INDICATORS,"Nadolski, Jerzy and Marciniak, Barbara and Loga, Barbara and Michalski, Marek and Banbura, Jerzy","USER-NOTES: {""Riikka""=>[""Main take-away here relevant to us is that there were less caterpillars in the urban park compared to the forest site. Productivity of blue tit broods was positively influenced by the abundance of caterpillars, as shown by positive correlations between the number of fledglings and the peak mass of frass fall. potential effects of lower availability of caterpillars in the urban compared to the forest sites is probably enhanced by the effect of much lower density of trees within tit territories and the occurrence of non-native tree species in a high proportion in the urban sites.\nThey make no management recommendation here, but an indirect take-away/recommendation could be more trees, particularly native trees should be planted to gain more insects in cities that then encourages breeding productivity of blue tits in these areas. \nUndecided on this one. Do we include studies that don’t actually have any tree-related recommendations?""], ""Kayleigh""=>[""I agree that this one is more indirect, however the recommendations and discussion do directly mention/hypothesize why differences between urban and rural forests exists mentioning non-natives and tree density\n\n- I'm fairly stuck on this one I think we should discuss in more detail."", ""Authors speculating/hypothesizing what is driving patterns or results, however do not conclude or synthesize clear recommendations/management that could be extracted reasonably. Tended to exlcude. Consult Carly + Barbara""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025323,Spatiotemporal variability of soundscapes in a multiple functional urban area,LANDSCAPE AND URBAN PLANNING,"Liu, Jiang and Kang, Jian and Luo, Tao and Behm, Holger and Coppack, Timothy","USER-NOTES: {""Riikka""=>[""Exclude. No direct response to bird success. Study about how humans perceive sounds, and although vegetation density as reflected in NDVI proved to be positively related to biophony and the authors make management suggestions (for the need to establish green infrastructure in urban areas to improve perceived soundscape quality) these are not directly linked to birds although might have indirect benefits.""], ""Kayleigh""=>[""Results are not related to bird success. No bird data collected- more focused on urban soundscape as percevied by humans. Recommendations did not tie in bird conservation, therefore I would exclude."", ""Results related to birds were to do with birdsong rather than any metric of bird success."", ""Both agree to exclude.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not bird success"
rayyan-364025325,Behavioural and reproductive flexibility of an invasive bird in an arid zone: A case of the Indian House Crow (Corvus splendens),JOURNAL OF ARID ENVIRONMENTS,"Yosef, Reuven and Zduniak, Piotr and Poliakov, Yelena and Fingerman, Anastasia","USER-NOTES: {""Riikka""=>[""Does not include urban forest management measures. Exclude.""], ""Kayleigh""=>[""Mostly related to learning capabilities and flexibility of bird species. Although they nest in palms, there are no results or recommendations related to urban forest management. Would exclude."", ""Agree to exclude.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364026109,Reproductive and foraging success of the Eastern Bluebird (Sialia sialis) in relation to vegetation height,WILSON JOURNAL OF ORNITHOLOGY,"Ambarda, Medhavi and Dunn, Peter O. and Whittingham, Linda A.","USER-NOTES: {""Kayleigh""=>[""urban component not completely clear... golf courses could be in urban areas but need to confirm""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364025988,The influence of matrix quality on species richness in remnant forest,LANDSCAPE ECOLOGY,"Reider, Ian J. and Donnelly, Maureen A. and Watling, James I.","USER-NOTES: {""Kayleigh""=>[""urban component not clear, tended to inclusion""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025519,EFFECTS OF BREEDING EXPERIENCE AND FAMILIARITY ON SITE FIDELITY IN FEMALE RED-WINGED BLACKBIRDS,ECOLOGY,"BELETSKY, LD and ORIANS, GH","USER-NOTES: {""Kayleigh""=>[""unsure if this is urban or whether trees will be included in environmental habitat variables, tended to inclusion""]} | RAYYAN-INCLUSION: {""Chloe""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025332,Noisy anthropogenic infrastructure interferes with alarm responses in Savannah sparrows (Passerculus sandwichensis),ROYAL SOCIETY OPEN SCIENCE,"Antze, Bridget and Koper, Nicola","USER-NOTES: {""Kayleigh""=>[""unclear on whether this is an urban area, need more info"", ""Noise pollution related to industrial (oil) infrastructure and has no mention of trees or urban forest management to mitigate or buffer noise. Would exclude. "", ""Agree to exclude""], ""ggingras01""=>[""NO direct mention of trees or urban environment but feeding and noise pollution from industrialisation could maybe considered ""], ""Riikka""=>[""Research not done in urban areas and does not include trees. Exclude.""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025438,Barred owl habitat and prey: A review and synthesis of the literature,JOURNAL OF RAPTOR RESEARCH,"Livezey, Kent B.","USER-NOTES: {""Kayleigh""=>[""SUBURBAN WOODLOTS- tended to inclusion""]} | RAYYAN-INCLUSION: {""Chloe""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary"
rayyan-364025578,Comparisons of Citizen Science Data-Gathering Approaches to Evaluate Urban Butterfly Diversity,INSECTS,"Prudic, Kathleen L. and Oliver, Jeffrey C. and Brown, Brian V. and Long, Elizabeth C.","USER-NOTES: {""Kayleigh""=>[""potential species at risk??""]} | RAYYAN-INCLUSION: {""Chloe""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364026015,"Butterfly extirpations, discoveries and rediscoveries in Singapore over 28 years",RAFFLES BULLETIN OF ZOOLOGY,"Jain, Anuj and Khoon, Khew Sin and Gan, Cheong Weei and Webb, Edward L.","USER-NOTES: {""Kayleigh""=>[""possible species at risk?""]} | RAYYAN-INCLUSION: {""Riikka""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not bird success,not in the specified geographical location"
rayyan-364026046,The population genetics of urban and rural amphibians in North America,MOLECULAR ECOLOGY,"Schmidt, Chloe and Garroway, Colin J.","USER-NOTES: {""Kayleigh""=>[""Possible species at risk?""]} | RAYYAN-INCLUSION: {""Chloe""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not bird success"
rayyan-364025622,Response of wintering Boreal Chickadees (Poecile hudsonica) to forest edges: Does weather matter?,AUK,"Hadley, Adam and Desrochers, Andre","USER-NOTES: {""Kayleigh""=>[""Not sure of urban component""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban"
rayyan-364025523,Variation in reproductive indices in three populations of Cooper's Hawks,WILSON JOURNAL OF ORNITHOLOGY,"Rosenfield, Robert N. and Bielefeldt, John and Rosenfield, Laura J. and Stewart, Andrew C. and Nenneman, Melvin P. and Murphy, Robert K. and Bozek, Michael A.","USER-NOTES: {""Kayleigh""=>[""not sure of urban component tended to inclusion""]} | RAYYAN-INCLUSION: {""Chloe""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest"
rayyan-364026004,SCENARIOS TO REDUCE FOREST FRAGMENTATION AND IMPROVE LANDSCAPE MULTIFUNCTIONALITY: A STUDY FROM NORTHERN ITALY,CARPATHIAN JOURNAL OF EARTH AND ENVIRONMENTAL SCIENCES,"Digiovinazzo, Patrizia and Ficetola, Gentile Francesco and Bottoni, Luciana and Padoa-Schioppa, Emilio","USER-NOTES: {""Kayleigh""=>[""not sure it meets urban component, tended to inclusion.. need more info""]} | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not bird success"
