key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-523992266,Carbon Sequestration Potential of Extensive Green Roofs,2009,10,1,Environmental Science & Technology,0013-936X,43,19,7564-7570,"Getter, Kristin L. and Rowe, D. Bradley and Robertson, G. Philip and Cregg, Bert M. and Andresen, Jeffrey A.",https://doi.org/10.1021/es901539x,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",10.1021/es901539x,"",,
rayyan-523992267,Application of Citygreen model in benefit assessment of Nanjing urban greenbelt in carbon fixation and runoff reduction,2007,7,1,"Ying yong sheng tai xue bao = The journal of applied ecology / Zhongguo sheng tai xue xue hui, Zhongguo ke xue yuan Shenyang ying yong sheng tai yan jiu suo zhu ban",,18,,1293-8,"Peng, Li-hua and Chen, Sophia Shuang and Liu, Yun-xia and Wang, Jin",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not forest management",,"",,
rayyan-523992268,"Estimating CO2 Sequestration by Forests in Oita Prefecture, Japan, by Combining LANDSAT ETM+ and ALOS Satellite Remote Sensing Data",2012,11,1,Remote Sensing,2072-4292,4,11,3544-3570,"Sanga-Ngoie, Kazadi and Iizuka, Kotaro and Kobayashi, Shoko",https://www.mdpi.com/2072-4292/4/11/3544,en,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",10.3390/rs4113544,GIS;ALOS;CO<sub>2</sub> sequestration;land use/land cover maps;LANDSAT;Japan;Trees,,
rayyan-523992269,Green infrastructures and intensive forestry: Need and opportunity for spatial planning in a Swedish rural-urban gradient,2013,,,Scandinavian Journal of Forest Research,0282-7581,28,2,143-165,"Andersson, Kjell and Angelstam, Per and Elbakidze, Marine and Axelsson, Robert and Degerman, Erik",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",10.1080/02827581.2012.723740,"",,
rayyan-523992270,Ecosystem service bundles along the urban-rural gradient: Insights for landscape planning and management,2017,4,1,Ecosystem Services,,24,,147-159,"Baró, Francesc and Gómez-Baggethun, Erik and Haase, Dagmar",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not primary",10.1016/j.ecoser.2017.02.021,Ecosystem,,
rayyan-523992271,Mapping green infrastructure based on ecosystem services and ecological networks: A Pan-European case study,2015,12,1,Environmental Science & Policy,1462-9011,54,,268-280,"Liquete, Camino and Kleeschulte, Stefan and Dige, Gorm and Maes, Joachim and Grizzetti, Bruna and Olah, Branislav and Zulian, Grazia",https://www.sciencedirect.com/science/article/pii/S1462901115300356,en,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",10.1016/j.envsci.2015.07.009,Ecosystem service;Conservation;Europe;Restoration;Green infrastructure;Connectivity;Habitat modelling;Prioritization,,
rayyan-523992272,More green infrastructure is required to maintain ecosystem services under current trends in land-use change in Europe,2015,3,1,Landscape Ecology,1572-9761,30,3,517-534,"Maes, Joachim and Barbosa, Ana and Baranzelli, Claudia and Zulian, Grazia and Batista e Silva, Filipe and Vandecasteele, Ine and Hiederer, Roland and Liquete, Camino and Paracchini, Maria Luisa and Mubareka, Sarah and Jacobs-Crisioni, Chris and Castillo, Carolina Perpiña and Lavalle, Carlo",https://doi.org/10.1007/s10980-014-0083-2,en,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not urban",10.1007/s10980-014-0083-2,Ecosystem services;Scenario;Green infrastructure;Biodiversity strategy;European Union;Land-use model;Europe,,
rayyan-523992273,Global forecasts of urban expansion to 2030 and direct impacts on biodiversity and carbon pools,2012,10,2,Proceedings of the National Academy of Sciences,,109,40,16083-16088,"Seto, Karen C. and Güneralp, Burak and Hutyra, Lucy R.",https://www.pnas.org/doi/10.1073/pnas.1211658109,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not temperate",10.1073/pnas.1211658109,"",,
rayyan-523992274,"Mapping ecosystem service capacity, flow and demand for landscape and urban planning: A case study in the Barcelona metropolitan region",2016,11,1,Land Use Policy,,57,,405-417,"Baró, Francesc and Palomo, Ignacio and Zulian, Grazia and Vizcaino, Pilar and Haase, Dagmar and Gómez-Baggethun, Erik",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",10.1016/j.landusepol.2016.06.006,Ecosystem,,
rayyan-523992275,Improving the multi-functionality of urban green spaces: Relations between components of green spaces and urban services,2018,,,Sustainable Cities and Society,2210-6707,43,,1-10,"Belmeziti, Ali and Cherqui, Frédéric and Kaufmann, Bernard",,,,,,"RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded""} | RAYYAN-EXCLUSION-REASONS: not climate solution",10.1016/j.scs.2018.07.014,"",,
