key,title,year,month,day,journal,issn,volume,issue,pages,authors,url,language,publisher,location,abstract,notes,doi,keywords,pubmed_id,pmc_id
rayyan-397594204,Avaliação dos Benefícios Ambientais de Soluções Baseadas na Natureza com O Software I-Tree – O Caso da Zona Industrial de Bragança - Portugal,2021,,,PQDT - Global,9798358451612,,30208912,54,"Pança, Fernanda Albertini and Gonçalves, Artur de Jesus and Castro, José and Bortoli, Marcelo",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Favalia%C3%A7%C3%A3o-dos-benef%C3%ADcios-ambientais-de-solu%C3%A7%C3%B5es%2Fdocview%2F2748386809%2Fse-2%3Faccountid%3D10246,Portuguese,Instituto Politecnico de Braganca (Portugal)     PP  - Portugal,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-12-09 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: foreign language",,Air pollution;Software;Forests;Atmospheric chemistry;Atmospheric sciences;Chemistry;Computer science;European studies;Forestry;0371:Atmospheric Chemistry;0440:European Studies;0478:Forestry;0485:Chemistry;0725:Atmospheric sciences;0984:Computer science;Portugal;Herpes Zoster,,
rayyan-397594205,Mental Health State of Emergency-Reducing Risk of Depression in Zip Code 95833,2022,,,ProQuest Dissertations and Theses,9798357545350,,29325791,109,"Lambert, Jessica and Mink, Michael",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fmental-health-state-emergency-reducing-risk%2Fdocview%2F2740924310%2Fse-2%3Faccountid%3D10246,English,"California State University, Sacramento     PP  - United States -- California",Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-12-05 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: wrong outcome,not climate solution",,Depression;Disaster;Mental health;Public health;Sacramento;Tree canopy;0573:Public health;Emergencies;Mental Health,,
rayyan-397594206,"Seeking a Right to the City in Toronto: Youth, Pedagogy, Pandemic, and Performance",2022,,,ProQuest Dissertations and Theses,9798834061212,,29253163,268,"Balt, Christine and Gallagher, Kathleen M.",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fseeking-right-city-toronto-youth-pedagogy%2Fdocview%2F2736344124%2Fse-2%3Faccountid%3D10246,English,"University of Toronto (Canada)     PP  - Canada -- Ontario, CA",Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-11-23 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: bird | RAYYAN-EXCLUSION-REASONS: not forest,wrong outcome,wrong population",,Drama education;Pedagogy;Performing arts;Qualitative methodology;Urban;Youth;Education;Geography;0366:Geography;0641:Performing Arts;0515:Education;Adolescent,,
rayyan-397594207,The Geography of Contemporary Urbanization and its Effects on Landscape Sustainability in Harare Metropolitan Province,2022,,,PQDT - Global,9798352975701,,29730985,181,"Marondedze, Andrew Kudzanayi and Schütt, Brigitta and Bebermeier, Wiebke",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fgeography-contemporary-urbanization-effects-on%2Fdocview%2F2734703961%2Fse-2%3Faccountid%3D10246,English,Freie Universitaet Berlin (Germany)     PP  - Germany,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-11-16 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: wrong outcome,wrong population,not climate solution",,Urban planning;Soil erosion;Roads & highways;Microclimate;Hydrology;Performance evaluation;Economic growth;Climate change;Immigration;Vegetation;Sustainable development;Maps;Mapping;Land use;Urban areas;Algorithms;Urbanization;Cities;Area planning & development;Computer science;Economics;Hydrologic sciences;Land use planning;Public policy;Soil sciences;Sustainability;Transportation;0341:Area Planning and Development;0388:Hydrologic sciences;0999:Urban planning;0630:Public policy;0640:Sustainability;0501:Economics;0536:Land Use Planning;0481:Soil sciences;0709:Transportation;0404:Climate Change;0984:Computer science;Geography,,
rayyan-397594208,Estudo do Efeito de Infraestruturas Verdes na Resiliência da Cidade de Leiria às Alterações Climáticas e à Poluição do Ar,2021,,,PQDT - Global,9798352996393,,29705191,192,"Sério, Daniel Henriques and Aires, Luis Miguel Igreja",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Festudo-do-efeito-de-infraestruturas-verdes-na%2Fdocview%2F2734702565%2Fse-2%3Faccountid%3D10246,Portuguese,Instituto Politecnico de Leiria (Portugal)     PP  - Portugal,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-11-16 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: foreign language",,Air pollution;Fluid dynamics;Microclimate;Atmospheric chemistry;Atmospheric sciences;Fluid mechanics;Mechanics;Physics;0371:Atmospheric Chemistry;0605:Physics;0346:Mechanics;0204:Fluid mechanics;0725:Atmospheric sciences,,
rayyan-397594209,"Assessing Precipitation Pattern Changes Caused by Forest Cover Dynamics of the Tropical Rainforest in San Andres and San Jose, Peten, Guatemala",2022,,,ProQuest Dissertations and Theses,9798351469560,,29167990,42,"Barrios, Luis Edwin and Li, Jingjing",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fassessing-precipitation-pattern-changes-caused%2Fdocview%2F2726541525%2Fse-2%3Faccountid%3D10246,English,"California State University, Los Angeles     PP  - United States -- California",Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-11-06 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not temperate,wrong outcome",,Precipitation;Pattern change;Forest cover dynamics;Tropical rainforest;Environmental science;Forestry;Environmental studies;Meteorology;0477:Environmental Studies;0478:Forestry;0768:Environmental science;0557:Meteorology,,
rayyan-397594210,Dissolved Oxygen and Carbon Phase Turnover in Terrestrial Freshwater Ecosystems with their Stable Isotopes as Process Indicators,2022,,,PQDT - Global,9798351487250,,29311715,196,"Piatka, David R. and Barth, Johannes A. C. and Achtziger, Wolfgang and Friese, Kurt",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fdissolved-oxygen-carbon-phase-turnover%2Fdocview%2F2723858237%2Fse-2%3Faccountid%3D10246,English,Friedrich-Alexander-Universitaet Erlangen-Nuernberg (Germany)     PP  - Germany,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-10-23 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not forest,wrong population",,Plankton;Software;Gases;Writing;Creeks & streams;Lakes;Groundwater;Atmosphere;Carbon;River ecology;Presentations;Isotopes;Metabolism;Ponds;Aquatic ecosystems;Respiration;Editing;Alkalinity;Aquatic sciences;Biological oceanography;Biology;Computer science;Ecology;Hydrologic sciences;Microbiology;Water resources management;0388:Hydrologic sciences;0306:Biology;0329:Ecology;0792:Aquatic sciences;0416:Biological oceanography;0410:Microbiology;0984:Computer science;0595:Water Resources Management;Oxygenators,,
rayyan-397594211,"The Development of Photovoltaic Solar Energy in Macon County, Alabama USA: Feasibility and Challenges of Its Use as Part of the Solution to Climate Change",2022,,,ProQuest Dissertations and Theses,9798352696750,,29160989,266,"Adjoyi, Gilbert and Jimmeh, Joe B. and Fall, Souleymane",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Fdevelopment-photovoltaic-solar-energy-macon%2Fdocview%2F2721318947%2Fse-2%3Faccountid%3D10246,English,Tuskegee University     PP  - United States -- Alabama,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-11-03 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: not forest,wrong population",,Anthropogenic greenhouse emissions;Efficiency and intermittency;Energy policy;Environmental policy;Global warming;Photovoltaic solar energy;Public policy;Climate change;Alternative energy;0630:Public policy;0363:Alternative Energy;0404:Climate Change,,
rayyan-397594212,Effects of Disturbances in the Face of Sea Level Rise on Coastal Wetland Vegetation Along the Northern Gulf of Mexico,2022,,,ProQuest Dissertations and Theses,9798351468761,,29256017,167,"Steenrod, Camille L. and Gibson, David J.",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Feffects-disturbances-face-sea-level-rise-on%2Fdocview%2F2719519777%2Fse-2%3Faccountid%3D10246,English,Southern Illinois University at Carbondale     PP  - United States -- Illinois,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-10-16 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: bird | RAYYAN-EXCLUSION-REASONS: wrong outcome,not climate solution",,Disturbance;Ecology;Hurricanes;Normalized difference vegetation index;Sea level rise;Plant sciences;Remote sensing;0329:Ecology;0799:Remote sensing;0479:Plant sciences;Mexico;Vegetables,,
rayyan-397594213,Optimizing Incentives for Systems with Heterogeneous Agents,2022,,,ProQuest Dissertations and Theses,9798351452142,,29253514,219,"Chen, Chen and Cai, Wenbo W. and Toy, Esra Buyuktahtakin",https://lib-ezproxy.concordia.ca/login?qurl=https%3A%2F%2Fwww.proquest.com%2Fdissertations-theses%2Foptimizing-incentives-systems-with-heterogeneous%2Fdocview%2F2716203114%2Fse-2%3Faccountid%3D10246,English,New Jersey Institute of Technology     PP  - United States -- New Jersey,Ann Arbor,,"Copyright - Database copyright ProQuest LLC; ProQuest does not claim copyright in the individual underlying works.
Last updated - 2022-10-06 | RAYYAN-INCLUSION: {""Kayleigh""=>""Excluded"", ""Corey""=>""Excluded""} | RAYYAN-LABELS: forest | RAYYAN-EXCLUSION-REASONS: wrong outcome,wrong population,not climate solution",,Cap-and-trade;Emerald ash borer;Information asymmetry;Mixed-integer programming;Principal-agent problem;Industrial engineering;Management;Operations research;0454:Management;0546:Industrial engineering;0796:Operations research;Motivation,,
