"Rec1","value","n"
"Conservation","Above-ground biomass",12
"Management","Above-ground biomass",103
"No Recommendations","Above-ground biomass",45
"Restoration","Above-ground biomass",4
"Conservation","Below-ground biomass",4
"Management","Below-ground biomass",34
"No Recommendations","Below-ground biomass",19
"Restoration","Below-ground biomass",1
"Conservation","Dead wood/organic matter",2
"Management","Dead wood/organic matter",9
"No Recommendations","Dead wood/organic matter",3
"Restoration","Dead wood/organic matter",1
"Management","Infrastructure (timber buildings)",3
"Conservation","Soil",3
"Management","Soil",17
"No Recommendations","Soil",8
"Restoration","Soil",2
