"Comparator","value","n","total","percent"
"N","Above-ground biomass",144,164,87.8048780487805
"Y","Above-ground biomass",20,164,12.1951219512195
"N","Below-ground biomass",50,58,86.2068965517241
"Y","Below-ground biomass",8,58,13.7931034482759
"N","Dead wood/organic matter",14,15,93.3333333333333
"Y","Dead wood/organic matter",1,15,6.66666666666667
"N","Infrastructure",2,3,66.6666666666667
"Y","Infrastructure",1,3,33.3333333333333
"N","Soil",25,30,83.3333333333333
"Y","Soil",5,30,16.6666666666667
