"value","comparator","yes/no","comp"
"Behaviour",65.5172413793103,19,"Yes"
"Behaviour",34.4827586206897,10,"No"
"Biodiversity",50,94,"Yes"
"Biodiversity",50,94,"No"
"Breeding",59.1836734693878,29,"Yes"
"Breeding",40.8163265306122,20,"No"
"Demographics/Patterns",77.7777777777778,35,"Yes"
"Demographics/Patterns",22.2222222222222,10,"No"
"Foraging",100,1,"Yes"
"Foraging",0,0,"No"
"Resources",57.1428571428571,4,"Yes"
"Resources",42.8571428571429,3,"No"
"Survival",71.4285714285714,20,"No"
"Survival",28.5714285714286,8,"Yes"
