"Year","Journal","Country.Auth","COUNTRY","Urb.scale","Start.year","End.year","Comparator","birddomain1","birddomain2","birddomain3","birddomain4","Rec.","Rec.1","Rec.2","Rec.3","Forest.comp","journal.count"
2017,"Wildlife Society Bulletin","USA","USA","Multi-patch","2012","2013","N","Survival",NA,NA,NA,"Yes","Management",NA,NA,"Land use type",3
1993,"Environmental Pollution","Canada","Canada","Patch","1988","1988","Y","Breeding",NA,NA,NA,"Yes","Management",NA,NA,"Individual tree management",1
2003,"Landscape and Urban Planning","USA","USA","Multi-patch","1998","1999","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Forested area",7
2013,"PLoS One","Australia","Australia","Multi-patch","2009","2010","N","Resources",NA,NA,NA,"Yes","Conservation",NA,NA,"Forested area",1
2002,"Acta Ornithologica","Bulgaria","Bulgaria ","Multi-patch","1999","2000","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,"Composition",1
1986,"Symposium on Remote Sensing for Resources Development and Environmental Management ","United Kingdom","United Kingdom","Region","1981","1984","N","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,"Green space type",1
2005,"Northwest Science","USA","USA","Multi-patch","1996","2002","Y","Breeding","Demographics/Patterns",NA,NA,"No","N/A",NA,NA,"Fragmentation",1
2014,"Biological Conservation","USA","USA","Region","2000","2050","N","Demographics/Patterns",NA,NA,NA,"Yes","Management","Conservation",NA,"Land use type, Forested area",5
2016,"Plant Ecology","Japan","Japan","Patch","2010","2014","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Forested area, Individual tree management, Composition",1
2015,"Urban Ecosystems","Canada","Canada","Multi-patch","N/A","N/A","Y","Demographics/Patterns",NA,NA,NA,"Yes","Conservation",NA,NA,"Diversity metric, Forested area",2
2016,"Ecosphere","USA","USA","Multi-patch","2013","2015","N","Breeding","Survival",NA,NA,"Yes","Management",NA,NA,"Composition",2
2013,"The Condor","USA","USA","Patch","2008","2009","Y","Behaviour","Survival",NA,NA,"No","N/A",NA,NA,"Composition, Forested area, Exotic/invasive species",7
2014,"The Condor","USA 
of America","USA","Multi-patch","2010","2011","Y","Biodiversity","Resources","Demographics/Patterns",NA,"Yes","Management",NA,NA,"Exotic/invasive species, Land-use type, Forested area ",7
2006,"Biological Conservation","USA 
of America","USA","Multi-patch","2003","2005","Y","Demographics/Patterns","Breeding","Survival",NA,"Yes","Conservation",NA,NA,"Exotic/invasive species, Forested area, ",5
2012,"Avian Biology","Canada","Canada","Multi-patch","2007","2007","Y","Behaviour",NA,NA,NA,"No","N/A",NA,NA,"Canopy Cover",1
2011,"Ecology","USA ","USA","Multi-patch","2006","2008","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,"Exotic/invasive species, Forested area",1
2008,"Landscape Ecology","USA","USA","Region","1999","2005","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Forested area, Land use type",1
1995,"Environmental Management","Canada","Canada","Patch","1991","1991","N","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Management","Restoration",NA,"Land use type, Forested area",2
2009,"Ecosystems","Japan","Japan","Region","2005","2006","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Canopy Cover",1
2007,"Journal of Great Lakes Research","USA 
of America","USA","Multi-city","N/A","N/A","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Land Use Type",1
2006,"Bird Study","Ireland","Ireland","Patch","1999","1999","N","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,"Composition, Land use type",1
2018,"Environmental Research","Portugal","Portugal","Patch","2015","2015","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Land use type",1
2021,"Land","Australia","Australia","Patch","N/A","N/A","N/A","Demographics/Patterns",NA,NA,NA,"Yes","Restoration",NA,NA,"Canopy Cover",1
2019,"Waterbirds","India","India","Region","2017","2017","Y","Breeding",NA,NA,NA,"Yes","Conservation",NA,NA,"Land use type",1
2019,"Ecological Modelling","Italy","Italy","Patch","2016","2016","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Diversity metric, Composition",1
2017,"Journal of Environmental Management","USA","USA","Region","2006","2013","Y","Demographics/Patterns",NA,NA,NA,"Yes","Restoration",NA,NA,"Canopy Cover, Land use type",1
2005,"The Condor","USA","USA","Region","2001","2003","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,"Composition, Land use type, Canopy Cover",7
2013,"Urban Ecosystems","USA","USA","Multi-patch","2008","2009","Y","Breeding",NA,NA,NA,"Yes","Management",NA,NA,"Canopy Cover, Composition",19
2011,"Journal of Applied Ecology","Canada","Canada","Multi-patch","2006","2007","Y","Behaviour",NA,NA,NA,"Yes","Management",NA,NA,"Connectivity, Fragmentation, Canopy Cover",1
2018,"Wildlife Society Bulletin","USA","USA","Patch","2001","2002","Y","Breeding","Demographics/Patterns",NA,NA,"Yes","Management",NA,NA,"Composition, Canopy Cover",3
2018,"Urban Ecosystems","USA","USA","Multi-patch","2011","2011","Y","Breeding","Behaviour","Resources",NA,"No","N/A",NA,NA,"Composition",19
2015,"Urban Ecosystems","USA","USA","Multi-patch","2012","2013","Y","N/A","N/A","N/A",NA,"Yes","Management",NA,NA,"Individual tree management, Land use type, Composition, Canopy Cover",19
2007,"Environmental Management","Canada","Canada","Multi-city","N/A","N/A","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Restoration",NA,"Forested area, Canopy Cover, Land use type",2
2001,"Environmental Conservation","Spain","Spain","Multi-patch","1998","1998","N","Behaviour",NA,NA,NA,"Yes","Management",NA,NA,"Composition, Canopy Cover, Forested Area",1
2015,"The Condor","USA","USA","Region","2009","2012","Y","Survival",NA,NA,NA,"Yes","Restoration",NA,NA,"Canopy Cover",7
2017,"Landscape and Urban Planning","Finland","Finland","Multi-city","1991","2012","Y","Breeding",NA,NA,NA,"Yes","Restoration","Management",NA,"Individual tree management, Composition",1
2018,"Proceedings of the Royal Society B","USA","USA","Multi-patch","1996","2016","Y","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,"Canopy Cover",1
2021,"Ecosphere","USA","USA","Multi-patch","2014","2016","Y","Breeding","Survival",NA,NA,"Yes","Management",NA,NA,"Land use type",2
2012,"Urban Ecosystems","USA","USA","Region","2007","2008","Y","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,"Forested area, Composition, Land-Use Type",19
2005,"Ecology and Society","USA","USA","Multi-patch","2000","2001","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Diversity metric",1
2007,"Landscape and Urban Planning","Italy","Italy","Region","2000","2001","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area",1
2014,"Journal for Nature Conservation","Spain","Spain","Region","N/A","N/A","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Connectivity, Composition, Forested area, Fragmentation",1
2002,"The Auk","USA","USA","Multi-patch","1996","1999","Y","Breeding",NA,NA,NA,"Yes","Conservation",NA,NA,"Fragmentation",4
2007,"Acta Oecologica","Italy","Italy","Multi-patch","1999","2004","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area, Composition",1
2016,"Frontiers in Ecology and Evolution","USA","USA","Multi-patch","1973","2013","Y","Demographics/Patterns","Survival","Breeding",NA,"Yes","Conservation",NA,NA,"Composition, Forested area",2
2004,"Acta Ornithologica","Poland","Poland","Multi-patch","1997","2003","Y","Breeding","Survival",NA,NA,"No","N/A",NA,NA,"Forested area, Composition, Individual tree management ",2
2008,"Journal of 
Animal Ecology","USA","USA","Multi-patch","2001","2006","Y","Breeding","Survival",NA,NA,"No","N/A",NA,NA,"Forested area",1
1993,"Bird Study","United Kingdom","Multiple (14 countries)","Patch","1988","1989","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition, Forested area",1
2002,"Oecologia","USA","Spain","Patch","1997","1998","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,"Composition, Diversity metric, Canopy Cover, Forested area",1
2017,"Urban Ecosystems","USA","USA","Multi-patch","1998","2010","Y","Biodiversity","Breeding",NA,NA,"Yes","Conservation",NA,NA,"Land use type, Canopy Cover",19
2006,"Area","United Kingdom","Scotland","Patch","2004","2004","Y","Behaviour",NA,NA,NA,"Yes","Management",NA,NA,"Composition",1
2017,"Transportation Research","India","India","Multi-patch","2016","2016","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,"Canopy Cover, Forested Area ",1
2015,"Urban Ecosystems","Republic of Korea","South Korea","Region","2012","2012","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Canopy Cover, Composition, Land use type, Forested area",1
2013,"Urban Ecosystems","USA","USA","Multi-patch","2007","2007","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area",19
2010,"Urban Ecosystems","United Kingdom","United Kingdom","Region","1978","2006","Y","Demographics/Patterns",NA,NA,NA,"Yes","Management",NA,NA,"Forested area",1
2009,"Urban Forestry & Urban Greening","India","India","Patch","2006","2006","Y","Biodiversity",NA,NA,NA,"Yes","Conservation",NA,NA,"Diversity metric, Forested area",1
2022,"Urban Ecosystems","India","India","Multi-patch","2018","2019","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,"Forested area, Canopy Cover, Composition",1
2014,"Avocetta","India","India","Patch","2007","2007","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,"Composition",1
2022,"Proceedings of the Zoological Society","India","India","Multi-patch","2017","2018","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Land use type",1
2017,"Remote Sensing","France","France","Multi-patch","2009","2016","Y","Biodiversity","Breeding",NA,NA,"No","N/A",NA,NA,"Composition",1
2004,"Ornis Fennica","Poland","Poland","Patch","1997","2000","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,"Composition, Canopy Cover",2
2011,"Journal of Wildlife Management","USA","USA","Multi-patch","2008","2009","Y","Survival",NA,NA,NA,"Yes","Management",NA,NA,"Land use type",1
2008,"Urban Ecosystems","USA","USA","Patch","2003","2004","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,"Forested area, Canopy Cover",19
2012,"Urban Ecosystems","USA","USA","Multi-patch","2009","2009","N","Breeding","Biodiversity",NA,NA,"No","N/A",NA,NA,"Canopy Cover, Forested area",19
