"duration_bin","value","n"
"(0,1]","Behaviour",9
"(0,1]","Biodiversity",54
"(0,1]","Breeding",8
"(0,1]","Demographics/Patterns",9
"(0,1]","N/A",3
"(0,1]","Resources",4
"(0,1]","Survival",7
"(0,1]",NA,210
"(1,5]","Behaviour",2
"(1,5]","Biodiversity",39
"(1,5]","Breeding",14
"(1,5]","Demographics/Patterns",7
"(1,5]","Resources",1
"(1,5]","Survival",9
"(1,5]",NA,148
"(5,10]","Behaviour",3
"(5,10]","Biodiversity",7
"(5,10]","Breeding",4
"(5,10]","Demographics/Patterns",4
"(5,10]","Survival",2
"(5,10]",NA,40
"(10,100]","Biodiversity",10
"(10,100]","Breeding",6
"(10,100]","Demographics/Patterns",7
"(10,100]","Survival",2
"(10,100]",NA,51
NA,"Behaviour",13
NA,"Biodiversity",65
NA,"Breeding",14
NA,"Demographics/Patterns",15
NA,"Foraging",1
NA,"Resources",1
NA,"Survival",7
NA,NA,244
