"Urb.scale","value","n"
"Multi-City"," Canopy cover",3
"Multi-City"," Composition",4
"Multi-City"," Forested area",1
"Multi-City"," Land use type",2
"Multi-City","Canopy cover",1
"Multi-City","Composition",3
"Multi-City","Individual tree management",1
"Multi-City","Land use type",4
"Multi-City",NA,26
"Multi-Patch"," Canopy cover",14
"Multi-Patch"," Composition",30
"Multi-Patch"," Connectivity",1
"Multi-Patch"," Diversity metric",1
"Multi-Patch"," Exotic/invasive species",3
"Multi-Patch"," Forested area",13
"Multi-Patch"," Fragmentation",1
"Multi-Patch"," Individual tree management",4
"Multi-Patch"," Land use type",33
"Multi-Patch"," Native species",3
"Multi-Patch","Canopy cover",7
"Multi-Patch","Composition",27
"Multi-Patch","Diversity metric",1
"Multi-Patch","Exotic/invasive species",2
"Multi-Patch","Forested area",7
"Multi-Patch","Individual tree management",5
"Multi-Patch","Land use type",36
"Multi-Patch","Native species",2
"Multi-Patch",NA,245
"Patch"," Canopy cover",4
"Patch"," Composition",14
"Patch"," Connectivity",1
"Patch"," Diversity metric",1
"Patch"," Exotic/invasive species",4
"Patch"," Forested area",4
"Patch"," Individual tree management",6
"Patch"," Land use type",11
"Patch"," Native species",5
"Patch","Canopy cover",3
"Patch","Composition",31
"Patch","Connectivity",1
"Patch","Forested area",2
"Patch","Individual tree management",10
"Patch","Land use type",5
"Patch","Native species",4
"Patch",NA,174
"Region"," Canopy cover",1
"Region"," Composition",5
"Region"," Exotic/invasive species",1
"Region"," Forested area",1
"Region"," Fragmentation",1
"Region"," Land use type",3
"Region"," Native species",1
"Region","Composition",6
"Region","Diversity metric",1
"Region","Forested area",1
"Region","Individual tree management",1
"Region","Land use type",7
"Region","Native species",1
"Region",NA,55
