"Year","Journal","COUNTRY","Urb.scale","Start.year","End.year","Comparator","birddomain1","birddomain2","birddomain3","birddomain4","Rec.","Rec.1","Rec.2","Rec.3","country.count"
2017,"Wildlife Society Bulletin","USA","Multi-patch","2012","2013","N","Survival",NA,NA,NA,"Yes","Management",NA,NA,96
1993,"Environmental Pollution","Canada","Patch","1988","1988","Y","Breeding",NA,NA,NA,"Yes","Management",NA,NA,15
2003,"Landscape and Urban Planning","USA","Multi-patch","1998","1999","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,96
2013,"PLoS One","Australia","Multi-patch","2009","2010","N","Resources",NA,NA,NA,"Yes","Conservation",NA,NA,38
2002,"Acta Ornithologica","Bulgaria ","Multi-patch","1999","2000","N","Breeding",NA,NA,NA,"No","N/A",NA,NA,1
1986,"Symposium on Remote Sensing for Resources Development and Environmental Management ","United Kingdom","Region","1981","1984","N","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,7
2005,"Northwest Science","USA","Multi-patch","1996","2002","Y","Breeding","Demographics/Patterns",NA,NA,"No","N/A",NA,NA,96
2014,"Biological Conservation","USA","Region","2000","2050","N","Demographics/Patterns",NA,NA,NA,"Yes","Management","Conservation",NA,96
2016,"Plant Ecology","Japan","Patch","2010","2014","N","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,9
2015,"Urban Ecosystems","Canada","Multi-patch","N/A","N/A","Y","Demographics/Patterns",NA,NA,NA,"Yes","Conservation",NA,NA,15
2016,"Ecosphere","USA","Multi-patch","2013","2015","N","Breeding","Survival",NA,NA,"Yes","Management",NA,NA,96
2013,"The Condor","USA","Patch","2008","2009","Y","Behaviour","Survival",NA,NA,"No","N/A",NA,NA,96
2014,"The Condor","USA","Multi-patch","2010","2011","Y","Biodiversity","Resources","Demographics/Patterns",NA,"Yes","Management",NA,NA,96
2006,"Biological Conservation","USA","Multi-patch","2003","2005","Y","Demographics/Patterns","Breeding","Survival",NA,"Yes","Conservation",NA,NA,96
2012,"Avian Biology","Canada","Multi-patch","2007","2007","Y","Behaviour",NA,NA,NA,"No","N/A",NA,NA,15
2011,"Ecology","USA","Multi-patch","2006","2008","Y","Breeding",NA,NA,NA,"No","N/A",NA,NA,96
2008,"Landscape Ecology","USA","Region","1999","2005","N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,96
1995,"Environmental Management","Canada","Patch","1991","1991","N","Biodiversity","Demographics/Patterns",NA,NA,"Yes","Management","Restoration",NA,15
2009,"Ecosystems","Japan","Region","2005","2006","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,9
2007,"Journal of Great Lakes Research","USA","Multi-city","N/A","N/A","Y","Biodiversity",NA,NA,NA,"No","N/A",NA,NA,96
2006,"Bird Study","Ireland","Patch","1999","1999","N","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,1
2018,"Environmental Research","Portugal","Patch","2015","2015","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,1
2021,"Land","Australia","Patch","N/A","N/A","N/A","Demographics/Patterns",NA,NA,NA,"Yes","Restoration",NA,NA,38
2019,"Waterbirds","India","Region","2017","2017","Y","Breeding",NA,NA,NA,"Yes","Conservation",NA,NA,6
2019,"Ecological Modelling","Italy","Patch","2016","2016","N","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,8
2017,"Journal of Environmental Management","USA","Region","2006","2013","Y","Demographics/Patterns",NA,NA,NA,"Yes","Restoration",NA,NA,96
2005,"The Condor","USA","Region","2001","2003","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Management",NA,96
2013,"Urban Ecosystems","USA","Multi-patch","2008","2009","Y","Breeding",NA,NA,NA,"Yes","Management",NA,NA,96
2011,"Journal of Applied Ecology","Canada","Multi-patch","2006","2007","Y","Behaviour",NA,NA,NA,"Yes","Management",NA,NA,15
2018,"Wildlife Society Bulletin","USA","Patch","2001","2002","Y","Breeding","Demographics/Patterns",NA,NA,"Yes","Management",NA,NA,96
2018,"Urban Ecosystems","USA","Multi-patch","2011","2011","Y","Breeding","Behaviour","Resources",NA,"No","N/A",NA,NA,96
2015,"Urban Ecosystems","USA","Multi-patch","2012","2013","Y","N/A","N/A","N/A",NA,"Yes","Management",NA,NA,96
2007,"Environmental Management","Canada","Multi-city","N/A","N/A","Y","Biodiversity",NA,NA,NA,"Yes","Conservation","Restoration",NA,15
2001,"Environmental Conservation","Spain","Multi-patch","1998","1998","N","Behaviour",NA,NA,NA,"Yes","Management",NA,NA,11
2015,"The Condor","USA","Region","2009","2012","Y","Survival",NA,NA,NA,"Yes","Restoration",NA,NA,96
2017,"Landscape and Urban Planning","Finland","Multi-city","1991","2012","Y","Breeding",NA,NA,NA,"Yes","Restoration","Management",NA,2
2018,"Proceedings of the Royal Society B","USA","Multi-patch","1996","2016","Y","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,96
2021,"Ecosphere","USA","Multi-patch","2014","2016","Y","Breeding","Survival",NA,NA,"Yes","Management",NA,NA,96
2012,"Urban Ecosystems","USA","Region","2007","2008","Y","Demographics/Patterns",NA,NA,NA,"No","N/A",NA,NA,96
2005,"Ecology and Society","USA","Multi-patch","2000","2001","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,96
2007,"Landscape and Urban Planning","Italy","Region","2000","2001","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,8
2014,"Journal for Nature Conservation","Spain","Region","N/A","N/A","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,11
2002,"The Auk","USA","Multi-patch","1996","1999","Y","Breeding",NA,NA,NA,"Yes","Conservation",NA,NA,96
2007,"Acta Oecologica","Italy","Multi-patch","1999","2004","Y","Biodiversity",NA,NA,NA,"Yes","Management",NA,NA,8
2016,"Frontiers in Ecology and Evolution","USA","Multi-patch","1973","2013","Y","Demographics/Patterns","Survival","Breeding",NA,"Yes","Conservation",NA,NA,96
