"Year","Journal","COUNTRY","Study.country","Urb.scale","Start.year","End.year","Comparator","birdcomp1","birdcomp2","birdcomp3","birdcomp4","Rec.","Rec.1","Rec.2","Rec.3","forest1","forest2","forest3","forest4","Year_count"
2017,"Wildlife Society Bulletin","USA","USA","Multi-patch",2012,2013,"N","Survival",NA,NA,NA,"Yes","Management",NA,NA,"Land use type",NA,NA,NA,16
1993,"Environmental Pollution","Canada","Canada","Patch",1988,1988,"Y","Breeding",NA,NA,NA,"Yes","Management",NA,NA,"Individual tree management",NA,NA,NA,2
2003,"Landscape and Urban Planning","USA","USA","Multi-patch",1998,1999,"N","Biodiversity",NA,NA,NA,"Yes","Management","Conservation",NA,"Forested area",NA,NA,NA,3
2013,"PLoS One","Australia","Australia","Multi-patch",2009,2010,"N","Resources",NA,NA,NA,"Yes","Conservation",NA,NA,"Forested area",NA,NA,NA,22
2002,"Acta Ornithologica","Bulgaria","Bulgaria","Multi-patch",1999,2000,"N","Breeding",NA,NA,NA,"No",NA,NA,NA,"Composition",NA,NA,NA,6
1986,"Symposium on Remote Sensing for Resources Development and Environmental Management","United Kingdom","United Kingdom","Region",1981,1984,"N","Demographics/Patterns",NA,NA,NA,"No",NA,NA,NA,"Land use type",NA,NA,NA,3
2005,"Northwest Science","USA","USA","Multi-patch",1996,2002,"Y","Demographics/Patterns","Breeding",NA,NA,"No",NA,NA,NA,"Fragmentation",NA,NA,NA,10
2014,"Biological Conservation","USA","USA","Region",2000,2050,"N","Demographics/Patterns",NA,NA,NA,"Yes","Management","Conservation",NA,"Land use type","Forested area",NA,NA,16
2016,"Plant Ecology","Japan","Japan","Patch",2010,2014,"N","Biodiversity",NA,NA,NA,"No",NA,NA,NA,"Forested area","Individual tree management","Composition",NA,15
2015,"Urban Ecosystems","Canada","Canada","Multi-patch",NA,NA,"Y","Demographics/Patterns",NA,NA,NA,"Yes","Conservation",NA,NA,"Diversity metric","Forested area",NA,NA,16
2006,"Biological Conservation","USA","USA","Multi-patch",2003,2005,"Y","Demographics/Patterns","Breeding","Survival",NA,"Yes","Conservation",NA,NA,"Exotic/invasive species","Forested area",NA,NA,8
2012,"Avian Biology","Canada","Canada","Multi-patch",2007,2007,"Y","Behaviour",NA,NA,NA,"No",NA,NA,NA,"Canopy cover",NA,NA,NA,8
