"Urb.scale","value","n"
"Multi-city","Biodiversity",12
"Multi-city","Breeding",3
"Multi-city","Demographics/Patterns",3
"Multi-city","Survival",1
"Multi-city",NA,37
"Multi-patch","Behaviour",20
"Multi-patch","Biodiversity",100
"Multi-patch","Breeding",32
"Multi-patch","Demographics/Patterns",25
"Multi-patch","Foraging",1
"Multi-patch","Resources",3
"Multi-patch","Survival",15
"Multi-patch",NA,404
"Patch","Behaviour",8
"Patch","Biodiversity",65
"Patch","Breeding",12
"Patch","Demographics/Patterns",11
"Patch","Resources",3
"Patch","Survival",10
"Patch",NA,251
"Region","Behaviour",1
"Region","Biodiversity",12
"Region","Breeding",2
"Region","Demographics/Patterns",7
"Region","Resources",1
"Region","Survival",2
"Region",NA,67
