"COUNTRY","Journal","count","journal.count"
"Other","Urban Forestry & Urban Greening",21,1
"Germany","Urban Forestry & Urban Greening",21,2
"Italy","Urban Forestry & Urban Greening",21,3
"USA","Urban Forestry & Urban Greening",21,4
"Other","Urban Forestry & Urban Greening",21,1
"Finland","Urban Forestry & Urban Greening",21,2
"Other","Urban Forestry & Urban Greening",21,1
"Other","Urban Forestry & Urban Greening",21,1
"China","Urban Forestry & Urban Greening",21,2
"Other","Urban Forestry & Urban Greening",21,1
"Other","Urban Forestry & Urban Greening",21,1
"Other","Urban Forestry & Urban Greening",21,1
"Other","Urban Forestry & Urban Greening",21,1
"USA","Landscape and Urban Planning",14,8
"Other","Landscape and Urban Planning",14,1
"Canada","Landscape and Urban Planning",14,2
"Italy","Landscape and Urban Planning",14,2
"Other","Landscape and Urban Planning",14,1
"Other","Sustainability",12,1
"China","Sustainability",12,3
"USA","Sustainability",12,2
"Italy","Sustainability",12,3
"Other","Sustainability",12,1
"Other","Sustainability",12,1
"Other","Sustainability",12,1
"China","Forests",7,2
"Japan","Forests",7,2
"Other","Forests",7,1
"Other","Forests",7,1
"Other","Forests",7,1
"USA","Science of The Total Environment",6,3
"Other","Science of The Total Environment",6,1
"Other","Science of The Total Environment",6,1
"Other","Science of The Total Environment",6,1
"China","Journal of Environmental Management",5,3
"South Korea","Journal of Environmental Management",5,2
"Other","Environmental Pollution",4,1
"USA","Urban Ecosystems",4,2
"Other","Environmental Pollution",4,1
"USA","Environmental Pollution",4,2
"Other","Urban Ecosystems",4,1
"Other","Urban Ecosystems",4,1
"Other","Journal of Cleaner Production",3,1
"China","Ecological Indicators",3,2
"Other","Journal of Cleaner Production",3,1
"Other","Journal of Applied Ecology",3,1
"United Kingdom","Journal of Applied Ecology",3,2
